geometry/coordinates/0,geometry/coordinates/1,geometry/type,properties/DatasetId,properties/VersionNumber,properties/ReleaseNumber,properties/RowId,properties/Attributes/Address,properties/Attributes/AdmArea,properties/Attributes/District,properties/Attributes/Period,properties/Attributes/WorkingHours,properties/Attributes/Event,properties/Attributes/Goods,properties/Attributes/Link,properties/Attributes/global_id,type
37.616134,55.756202,Point,1345,5,19,,"Манежная площадь, ",Центральный административный округ,Тверской район,с 21 февраля по 1 марта,в будние дни с 11:00 до 21:00; в выходные и праздничные дни с 10:00 до 22:00,Московская Масленица ,,mos.ru,320900344,Feature
37.61947,55.757119,Point,1345,5,19,,Площадь Революции,Центральный административный округ,Тверской район,с 21 февраля по 1 марта,в будние дни с 11:00 до 21:00; в выходные и праздничные дни с 10:00 до 22:00,Московская Масленица ,,mos.ru,321858092,Feature
37.618113,55.756538,Point,1345,5,19,,Переход от Манежной площади к Площади Революции,Центральный административный округ,Тверской район,с 21 февраля по 1 марта,в будние дни с 11:00 до 21:00; в выходные и праздничные дни с 10:00 до 22:00,Московская Масленица ,,mos.ru,321858098,Feature
37.878857220322,55.714072953355,Point,1345,5,19,,"Святоозерская ул., вл. 1",Восточный административный округ,район Косино-Ухтомский,с 21 февраля по 1 марта,в будние дни с 11:00 до 21:00; в выходные и праздничные дни с 10:00 до 22:00,Московская Масленица ,,mos.ru,321858104,Feature
37.80035980307,55.821606112614,Point,1345,5,19,,Сквер у Гольяновского пруда,Восточный административный округ,район Гольяново,с 21 февраля по 1 марта,в будние дни с 11:00 до 21:00; в выходные и праздничные дни с 10:00 до 22:00,Московская Масленица ,,mos.ru,321858111,Feature
37.744599863488,55.657763440344,Point,1345,5,19,,"ул. Перерва, вл.52",Юго-Восточный административный округ,район Марьино,с 21 февраля по 1 марта,в будние дни с 11:00 до 21:00; в выходные и праздничные дни с 10:00 до 22:00,Московская Масленица ,,mos.ru,321858113,Feature
37.478834443542,55.704051290824,Point,1345,5,19,,"ул. Матвеевская, вл.2",Западный административный округ,район Очаково-Матвеевское,с 21 февраля по 1 марта,в будние дни с 11:00 до 21:00; в выходные и праздничные дни с 10:00 до 22:00,Московская Масленица ,,mos.ru,321858114,Feature
37.155141234558,55.975903139297,Point,1345,5,19,,"г. Зеленоград,16 мкр., бульварная зона",Зеленоградский административный округ,район Крюково,с 21 февраля по 1 марта,в будние дни с 11:00 до 21:00; в выходные и праздничные дни с 10:00 до 22:00,Московская Масленица ,,mos.ru,321858115,Feature
37.609879,55.761738,Point,1345,5,19,,Тверская площадь,Центральный административный округ,Тверской район,с 21 февраля по 1 марта,в будние дни с 11:00 до 21:00; в выходные и праздничные дни с 10:00 до 22:00,Московская Масленица ,,mos.ru,321858121,Feature
37.605794794085,55.765519754264,Point,1345,5,19,,"Пушкинская площадь
",Центральный административный округ,Тверской район,с 23 февраля по 23 февраля,в выходные и праздничные дни с 10:00 до 22:00,Московская Масленица ,Масленичный парад войск,mos.ru,321858137,Feature
37.865067,55.743383,Point,1345,5,19,,"ул. Городецкая, вл. 14 ",Восточный административный округ,район Новокосино,с 21 февраля по 1 марта,в будние дни с 11:00 до 21:00; в выходные и праздничные дни с 10:00 до 22:00,Московская Масленица ,,mos.ru,321858200,Feature
